exper,exper2,yeduc,income,lincome
7,49,12,200,5.298317
7,49,12,100,4.60517
7,49,12,125,4.828314
7,49,12,156.25,5.051457
7,49,12,250,5.521461
7,49,12,250,5.521461
7,49,12,300,5.703783
7,49,12,200,5.298317
7,49,12,300,5.703783
7,49,12,300,5.703783
7,49,12,200,5.298317
7,49,12,300,5.703783
7,49,12,250,5.521461
7,49,12,250,5.521461
8,64,12,100,4.60517
8,64,12,150,5.010635
8,64,12,750,6.620073
8,64,12,100,4.60517
8,64,12,200,5.298317
8,64,12,50,3.912023
8,64,12,106.25,4.665795
8,64,12,206.25,5.329089
8,64,12,12.5,2.525729
8,64,12,225,5.416101
8,64,12,225,5.416101
8,64,12,150,5.010635
8,64,12,200,5.298317
8,64,12,200,5.298317
8,64,12,250,5.521461
8,64,12,250,5.521461
8,64,12,100,4.60517
8,64,12,200,5.298317
8,64,12,150,5.010635
8,64,12,150,5.010635
8,64,12,200,5.298317
8,64,12,175,5.164786
8,64,12,300,5.703783
8,64,12,350,5.857933
8,64,12,300,5.703783
8,64,12,350,5.857933
8,64,12,400,5.991465
8,64,12,400,5.991465
8,64,12,150,5.010635
8,64,12,150,5.010635
8,64,12,350,5.857933
8,64,12,300,5.703783
8,64,12,350,5.857933
8,64,12,200,5.298317
8,64,12,350,5.857933
8,64,12,400,5.991465
8,64,12,900,6.802395
9,81,12,50,3.912023
9,81,12,200,5.298317
9,81,12,150,5.010635
9,81,12,50,3.912023
9,81,12,156.25,5.051457
9,81,12,75,4.317488
9,81,12,125,4.828314
9,81,12,150,5.010635
9,81,12,250,5.521461
9,81,12,250,5.521461
9,81,12,150,5.010635
9,81,12,250,5.521461
9,81,12,300,5.703783
9,81,12,100,4.60517
9,81,12,150,5.010635
9,81,12,106.25,4.665795
9,81,12,200,5.298317
9,81,12,450,6.109248
9,81,12,200,5.298317
9,81,12,100,4.60517
9,81,12,250,5.521461
9,81,12,200,5.298317
9,81,12,250,5.521461
9,81,12,200,5.298317
9,81,12,300,5.703783
9,81,12,300,5.703783
9,81,12,300,5.703783
9,81,12,300,5.703783
9,81,12,200,5.298317
9,81,12,300,5.703783
9,81,12,150,5.010635
9,81,12,300,5.703783
9,81,12,300,5.703783
9,81,12,300,5.703783
9,81,12,250,5.521461
9,81,12,150,5.010635
9,81,12,300,5.703783
9,81,12,300,5.703783
9,81,12,250,5.521461
9,81,12,150,5.010635
9,81,12,300,5.703783
9,81,12,200,5.298317
9,81,12,300,5.703783
9,81,12,250,5.521461
9,81,12,300,5.703783
9,81,12,450,6.109248
10,100,12,6.25,1.832582
10,100,12,25,3.218876
10,100,12,150,5.010635
10,100,12,100,4.60517
10,100,12,156.25,5.051457
10,100,12,6.25,1.832582
10,100,12,106.25,4.665795
10,100,12,125,4.828314
10,100,12,150,5.010635
10,100,12,150,5.010635
10,100,12,200,5.298317
10,100,12,50,3.912023
10,100,12,150,5.010635
10,100,12,200,5.298317
10,100,12,150,5.010635
10,100,12,150,5.010635
10,100,12,150,5.010635
10,100,12,250,5.521461
10,100,12,250,5.521461
10,100,12,150,5.010635
10,100,12,600,6.39693
10,100,12,200,5.298317
10,100,12,106.25,4.665795
10,100,12,250,5.521461
10,100,12,200,5.298317
10,100,12,150,5.010635
10,100,12,150,5.010635
10,100,12,200,5.298317
10,100,12,350,5.857933
10,100,12,200,5.298317
10,100,12,650,6.476973
10,100,12,300,5.703783
10,100,12,350,5.857933
10,100,12,200,5.298317
10,100,12,250,5.521461
10,100,12,200,5.298317
10,100,12,350,5.857933
10,100,12,300,5.703783
10,100,12,200,5.298317
10,100,12,400,5.991465
10,100,12,206.25,5.329089
10,100,12,650,6.476973
11,121,12,100,4.60517
11,121,12,200,5.298317
11,121,12,200,5.298317
11,121,12,150,5.010635
11,121,12,25,3.218876
11,121,12,150,5.010635
11,121,12,156.25,5.051457
11,121,12,6.25,1.832582
11,121,12,225,5.416101
11,121,12,125,4.828314
11,121,12,150,5.010635
11,121,12,200,5.298317
11,121,12,300,5.703783
11,121,12,200,5.298317
11,121,12,250,5.521461
11,121,12,300,5.703783
11,121,12,250,5.521461
11,121,12,200,5.298317
11,121,12,100,4.60517
11,121,12,300,5.703783
11,121,12,100,4.60517
11,121,12,300,5.703783
11,121,12,250,5.521461
11,121,12,175,5.164786
11,121,12,300,5.703783
11,121,12,300,5.703783
11,121,12,156.25,5.051457
11,121,12,350,5.857933
11,121,12,250,5.521461
11,121,12,350,5.857933
11,121,12,150,5.010635
11,121,12,175,5.164786
11,121,12,350,5.857933
11,121,12,150,5.010635
11,121,12,350,5.857933
11,121,12,225,5.416101
11,121,12,300,5.703783
11,121,12,350,5.857933
11,121,12,225,5.416101
11,121,12,225,5.416101
11,121,12,300,5.703783
11,121,12,400,5.991465
11,121,12,350,5.857933
11,121,12,350,5.857933
11,121,12,350,5.857933
11,121,12,350,5.857933
12,144,12,100,4.60517
12,144,12,150,5.010635
12,144,12,50,3.912023
12,144,12,100,4.60517
12,144,12,150,5.010635
12,144,12,50,3.912023
12,144,12,250,5.521461
12,144,12,75,4.317488
12,144,12,175,5.164786
12,144,12,275,5.616771
12,144,12,175,5.164786
12,144,12,50,3.912023
12,144,12,200,5.298317
12,144,12,75,4.317488
12,144,12,200,5.298317
12,144,12,150,5.010635
12,144,12,150,5.010635
12,144,12,200,5.298317
12,144,12,100,4.60517
12,144,12,100,4.60517
12,144,12,300,5.703783
12,144,12,150,5.010635
12,144,12,300,5.703783
12,144,12,350,5.857933
12,144,12,125,4.828314
12,144,12,100,4.60517
12,144,12,100,4.60517
12,144,12,100,4.60517
12,144,12,250,5.521461
12,144,12,300,5.703783
12,144,12,200,5.298317
12,144,12,250,5.521461
12,144,12,300,5.703783
12,144,12,250,5.521461
12,144,12,150,5.010635
12,144,12,175,5.164786
12,144,12,250,5.521461
12,144,12,400,5.991465
12,144,12,300,5.703783
12,144,12,400,5.991465
12,144,12,300,5.703783
12,144,12,400,5.991465
12,144,12,250,5.521461
12,144,12,400,5.991465
12,144,12,225,5.416101
12,144,12,350,5.857933
12,144,12,450,6.109248
12,144,12,350,5.857933
12,144,12,300,5.703783
12,144,12,450,6.109248
12,144,12,500,6.214608
12,144,12,350,5.857933
13,169,12,100,4.60517
13,169,12,200,5.298317
13,169,12,50,3.912023
13,169,12,100,4.60517
13,169,12,150,5.010635
13,169,12,200,5.298317
13,169,12,100,4.60517
13,169,12,200,5.298317
13,169,12,50,3.912023
13,169,12,200,5.298317
13,169,12,50,3.912023
13,169,12,100,4.60517
13,169,12,12.5,2.525729
13,169,12,275,5.616771
13,169,12,125,4.828314
13,169,12,300,5.703783
13,169,12,250,5.521461
13,169,12,150,5.010635
13,169,12,150,5.010635
13,169,12,200,5.298317
13,169,12,300,5.703783
13,169,12,50,3.912023
13,169,12,200,5.298317
13,169,12,100,4.60517
13,169,12,250,5.521461
13,169,12,300,5.703783
13,169,12,250,5.521461
13,169,12,200,5.298317
13,169,12,150,5.010635
13,169,12,300,5.703783
13,169,12,200,5.298317
13,169,12,300,5.703783
13,169,12,350,5.857933
13,169,12,250,5.521461
13,169,12,200,5.298317
13,169,12,150,5.010635
13,169,12,300,5.703783
13,169,12,175,5.164786
13,169,12,156.25,5.051457
13,169,12,150,5.010635
13,169,12,250,5.521461
13,169,12,350,5.857933
13,169,12,250,5.521461
13,169,12,300,5.703783
13,169,12,400,5.991465
13,169,12,400,5.991465
13,169,12,400,5.991465
13,169,12,200,5.298317
13,169,12,300,5.703783
13,169,12,350,5.857933
13,169,12,450,6.109248
13,169,12,400,5.991465
13,169,12,200,5.298317
13,169,12,200,5.298317
13,169,12,200,5.298317
13,169,12,400,5.991465
13,169,12,400,5.991465
13,169,12,300,5.703783
13,169,12,450,6.109248
13,169,12,350,5.857933
13,169,12,450,6.109248
13,169,12,600,6.39693
13,169,12,550,6.309918
14,196,12,50,3.912023
14,196,12,200,5.298317
14,196,12,200,5.298317
14,196,12,50,3.912023
14,196,12,150,5.010635
14,196,12,200,5.298317
14,196,12,200,5.298317
14,196,12,200,5.298317
14,196,12,156.25,5.051457
14,196,12,125,4.828314
14,196,12,125,4.828314
14,196,12,375,5.926926
14,196,12,300,5.703783
14,196,12,200,5.298317
14,196,12,56.25,4.029806
14,196,12,250,5.521461
14,196,12,250,5.521461
14,196,12,300,5.703783
14,196,12,200,5.298317
14,196,12,300,5.703783
14,196,12,100,4.60517
14,196,12,150,5.010635
14,196,12,150,5.010635
14,196,12,300,5.703783
14,196,12,200,5.298317
14,196,12,350,5.857933
14,196,12,100,4.60517
14,196,12,300,5.703783
14,196,12,300,5.703783
14,196,12,200,5.298317
14,196,12,250,5.521461
14,196,12,200,5.298317
14,196,12,150,5.010635
14,196,12,250,5.521461
14,196,12,300,5.703783
14,196,12,250,5.521461
14,196,12,300,5.703783
14,196,12,350,5.857933
14,196,12,200,5.298317
14,196,12,200,5.298317
14,196,12,250,5.521461
14,196,12,350,5.857933
14,196,12,200,5.298317
14,196,12,450,6.109248
14,196,12,300,5.703783
14,196,12,350,5.857933
14,196,12,350,5.857933
14,196,12,400,5.991465
14,196,12,200,5.298317
14,196,12,275,5.616771
14,196,12,400,5.991465
14,196,12,350,5.857933
14,196,12,400,5.991465
15,225,12,100,4.60517
15,225,12,50,3.912023
15,225,12,100,4.60517
15,225,12,50,3.912023
15,225,12,100,4.60517
15,225,12,150,5.010635
15,225,12,200,5.298317
15,225,12,200,5.298317
15,225,12,200,5.298317
15,225,12,56.25,4.029806
15,225,12,125,4.828314
15,225,12,175,5.164786
15,225,12,75,4.317488
15,225,12,175,5.164786
15,225,12,400,5.991465
15,225,12,400,5.991465
15,225,12,250,5.521461
15,225,12,150,5.010635
15,225,12,300,5.703783
15,225,12,150,5.010635
15,225,12,250,5.521461
15,225,12,250,5.521461
15,225,12,250,5.521461
15,225,12,250,5.521461
15,225,12,350,5.857933
15,225,12,100,4.60517
15,225,12,200,5.298317
15,225,12,250,5.521461
15,225,12,100,4.60517
15,225,12,250,5.521461
15,225,12,200,5.298317
15,225,12,150,5.010635
15,225,12,200,5.298317
15,225,12,200,5.298317
15,225,12,250,5.521461
15,225,12,350,5.857933
15,225,12,175,5.164786
15,225,12,175,5.164786
15,225,12,250,5.521461
15,225,12,350,5.857933
15,225,12,300,5.703783
15,225,12,500,6.214608
15,225,12,500,6.214608
15,225,12,156.25,5.051457
15,225,12,200,5.298317
15,225,12,400,5.991465
15,225,12,500,6.214608
15,225,12,200,5.298317
15,225,12,300,5.703783
15,225,12,200,5.298317
15,225,12,200,5.298317
15,225,12,350,5.857933
15,225,12,450,6.109248
15,225,12,400,5.991465
15,225,12,350,5.857933
15,225,12,300,5.703783
15,225,12,250,5.521461
15,225,12,250,5.521461
15,225,12,200,5.298317
15,225,12,200,5.298317
15,225,12,400,5.991465
15,225,12,225,5.416101
15,225,12,350,5.857933
15,225,12,250,5.521461
15,225,12,200,5.298317
15,225,12,400,5.991465
15,225,12,450,6.109248
15,225,12,400,5.991465
15,225,12,400,5.991465
15,225,12,500,6.214608
15,225,12,350,5.857933
15,225,12,700,6.55108
15,225,12,700,6.55108
16,256,12,150,5.010635
16,256,12,150,5.010635
16,256,12,250,5.521461
16,256,12,200,5.298317
16,256,12,250,5.521461
16,256,12,350,5.857933
16,256,12,150,5.010635
16,256,12,50,3.912023
16,256,12,256.25,5.546154
16,256,12,256.25,5.546154
16,256,12,225,5.416101
16,256,12,225,5.416101
16,256,12,75,4.317488
16,256,12,25,3.218876
16,256,12,125,4.828314
16,256,12,75,4.317488
16,256,12,300,5.703783
16,256,12,75,4.317488
16,256,12,550,6.309918
16,256,12,300,5.703783
16,256,12,50,3.912023
16,256,12,250,5.521461
16,256,12,300,5.703783
16,256,12,100,4.60517
16,256,12,100,4.60517
16,256,12,200,5.298317
16,256,12,200,5.298317
16,256,12,200,5.298317
16,256,12,150,5.010635
16,256,12,350,5.857933
16,256,12,200,5.298317
16,256,12,350,5.857933
16,256,12,200,5.298317
16,256,12,350,5.857933
16,256,12,150,5.010635
16,256,12,200,5.298317
16,256,12,450,6.109248
16,256,12,200,5.298317
16,256,12,400,5.991465
16,256,12,250,5.521461
16,256,12,150,5.010635
16,256,12,300,5.703783
16,256,12,400,5.991465
16,256,12,150,5.010635
16,256,12,300,5.703783
16,256,12,400,5.991465
16,256,12,150,5.010635
16,256,12,350,5.857933
16,256,12,250,5.521461
16,256,12,400,5.991465
16,256,12,500,6.214608
16,256,12,250,5.521461
16,256,12,350,5.857933
16,256,12,450,6.109248
16,256,12,300,5.703783
16,256,12,250,5.521461
16,256,12,400,5.991465
16,256,12,350,5.857933
16,256,12,200,5.298317
16,256,12,350,5.857933
16,256,12,400,5.991465
16,256,12,300,5.703783
16,256,12,350,5.857933
16,256,12,350,5.857933
16,256,12,450,6.109248
16,256,12,400,5.991465
16,256,12,350,5.857933
16,256,12,400,5.991465
16,256,12,350,5.857933
16,256,12,275,5.616771
16,256,12,250,5.521461
16,256,12,450,6.109248
16,256,12,600,6.39693
16,256,12,450,6.109248
16,256,12,350,5.857933
16,256,12,350,5.857933
16,256,12,250,5.521461
16,256,12,500,6.214608
16,256,12,350,5.857933
16,256,12,450,6.109248
16,256,12,450,6.109248
16,256,12,350,5.857933
16,256,12,600,6.39693
16,256,12,650,6.476973
16,256,12,525,6.263398
16,256,12,1325,7.189168
17,289,12,150,5.010635
17,289,12,50,3.912023
17,289,12,250,5.521461
17,289,12,50,3.912023
17,289,12,100,4.60517
17,289,12,150,5.010635
17,289,12,50,3.912023
17,289,12,6.25,1.832582
17,289,12,31.25,3.442019
17,289,12,206.25,5.329089
17,289,12,206.25,5.329089
17,289,12,6.25,1.832582
17,289,12,125,4.828314
17,289,12,225,5.416101
17,289,12,250,5.521461
17,289,12,250,5.521461
17,289,12,300,5.703783
17,289,12,150,5.010635
17,289,12,250,5.521461
17,289,12,100,4.60517
17,289,12,250,5.521461
17,289,12,200,5.298317
17,289,12,100,4.60517
17,289,12,250,5.521461
17,289,12,350,5.857933
17,289,12,150,5.010635
17,289,12,250,5.521461
17,289,12,300,5.703783
17,289,12,200,5.298317
17,289,12,100,4.60517
17,289,12,250,5.521461
17,289,12,106.25,4.665795
17,289,12,200,5.298317
17,289,12,250,5.521461
17,289,12,400,5.991465
17,289,12,500,6.214608
17,289,12,250,5.521461
17,289,12,300,5.703783
17,289,12,175,5.164786
17,289,12,350,5.857933
17,289,12,400,5.991465
17,289,12,150,5.010635
17,289,12,200,5.298317
17,289,12,206.25,5.329089
17,289,12,300,5.703783
17,289,12,250,5.521461
17,289,12,300,5.703783
17,289,12,300,5.703783
17,289,12,250,5.521461
17,289,12,400,5.991465
17,289,12,400,5.991465
17,289,12,400,5.991465
17,289,12,206.25,5.329089
17,289,12,400,5.991465
17,289,12,300,5.703783
17,289,12,250,5.521461
17,289,12,400,5.991465
17,289,12,450,6.109248
17,289,12,250,5.521461
17,289,12,275,5.616771
17,289,12,356.25,5.875633
17,289,12,700,6.55108
18,324,12,100,4.60517
18,324,12,100,4.60517
18,324,12,100,4.60517
18,324,12,100,4.60517
18,324,12,25,3.218876
18,324,12,150,5.010635
18,324,12,100,4.60517
18,324,12,200,5.298317
18,324,12,150,5.010635
18,324,12,50,3.912023
18,324,12,50,3.912023
18,324,12,156.25,5.051457
18,324,12,175,5.164786
18,324,12,225,5.416101
18,324,12,125,4.828314
18,324,12,225,5.416101
18,324,12,125,4.828314
18,324,12,200,5.298317
18,324,12,250,5.521461
18,324,12,50,3.912023
18,324,12,100,4.60517
18,324,12,75,4.317488
18,324,12,250,5.521461
18,324,12,200,5.298317
18,324,12,300,5.703783
18,324,12,125,4.828314
18,324,12,300,5.703783
18,324,12,250,5.521461
18,324,12,200,5.298317
18,324,12,300,5.703783
18,324,12,150,5.010635
18,324,12,150,5.010635
18,324,12,150,5.010635
18,324,12,100,4.60517
18,324,12,200,5.298317
18,324,12,200,5.298317
18,324,12,300,5.703783
18,324,12,300,5.703783
18,324,12,150,5.010635
18,324,12,500,6.214608
18,324,12,150,5.010635
18,324,12,350,5.857933
18,324,12,300,5.703783
18,324,12,400,5.991465
18,324,12,400,5.991465
18,324,12,150,5.010635
18,324,12,150,5.010635
18,324,12,300,5.703783
18,324,12,350,5.857933
18,324,12,400,5.991465
18,324,12,175,5.164786
18,324,12,500,6.214608
18,324,12,350,5.857933
18,324,12,250,5.521461
18,324,12,250,5.521461
18,324,12,350,5.857933
18,324,12,300,5.703783
18,324,12,350,5.857933
18,324,12,200,5.298317
18,324,12,400,5.991465
18,324,12,350,5.857933
18,324,12,200,5.298317
18,324,12,450,6.109248
18,324,12,450,6.109248
18,324,12,550,6.309918
18,324,12,500,6.214608
18,324,12,450,6.109248
18,324,12,250,5.521461
18,324,12,450,6.109248
18,324,12,600,6.39693
18,324,12,700,6.55108
18,324,12,350,5.857933
18,324,12,550,6.309918
18,324,12,450,6.109248
19,361,12,200,5.298317
19,361,12,200,5.298317
19,361,12,150,5.010635
19,361,12,50,3.912023
19,361,12,250,5.521461
19,361,12,50,3.912023
19,361,12,250,5.521461
19,361,12,250,5.521461
19,361,12,50,3.912023
19,361,12,6.25,1.832582
19,361,12,256.25,5.546154
19,361,12,206.25,5.329089
19,361,12,6.25,1.832582
19,361,12,56.25,4.029806
19,361,12,225,5.416101
19,361,12,175,5.164786
19,361,12,250,5.521461
19,361,12,300,5.703783
19,361,12,50,3.912023
19,361,12,50,3.912023
19,361,12,56.25,4.029806
19,361,12,250,5.521461
19,361,12,100,4.60517
19,361,12,200,5.298317
19,361,12,50,3.912023
19,361,12,200,5.298317
19,361,12,250,5.521461
19,361,12,450,6.109248
19,361,12,106.25,4.665795
19,361,12,200,5.298317
19,361,12,300,5.703783
19,361,12,350,5.857933
19,361,12,150,5.010635
19,361,12,200,5.298317
19,361,12,156.25,5.051457
19,361,12,175,5.164786
19,361,12,350,5.857933
19,361,12,150,5.010635
19,361,12,200,5.298317
19,361,12,200,5.298317
19,361,12,500,6.214608
19,361,12,300,5.703783
19,361,12,350,5.857933
19,361,12,200,5.298317
19,361,12,200,5.298317
19,361,12,450,6.109248
19,361,12,200,5.298317
19,361,12,450,6.109248
19,361,12,450,6.109248
19,361,12,400,5.991465
19,361,12,250,5.521461
19,361,12,206.25,5.329089
19,361,12,250,5.521461
19,361,12,256.25,5.546154
19,361,12,275,5.616771
19,361,12,600,6.39693
19,361,12,450,6.109248
19,361,12,450,6.109248
19,361,12,450,6.109248
19,361,12,450,6.109248
19,361,12,350,5.857933
19,361,12,350,5.857933
19,361,12,356.25,5.875633
19,361,12,350,5.857933
19,361,12,550,6.309918
19,361,12,350,5.857933
19,361,12,550,6.309918
20,400,12,6.25,1.832582
20,400,12,25,3.218876
20,400,12,250,5.521461
20,400,12,200,5.298317
20,400,12,200,5.298317
20,400,12,100,4.60517
20,400,12,50,3.912023
20,400,12,25,3.218876
20,400,12,25,3.218876
20,400,12,150,5.010635
20,400,12,256.25,5.546154
20,400,12,156.25,5.051457
20,400,12,6.25,1.832582
20,400,12,375,5.926926
20,400,12,25,3.218876
20,400,12,275,5.616771
